  565.7906 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-1.222 45 0.000    9  -23F1 -2 0    1481 1495     0
  565.7906 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-3.146 45 0.000    6  -23F2 -2 0    1481 1495     0
  565.7908 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-1.222 45 0.000    6  -32F2 -1 0    1481 1495     0
  565.7909 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-1.398 45 0.000    9  -32F1 -1 0    1481 1495     0

  565.8351 -1.170 21.01   12074.100  0.0 3d2 3P       29742.160  1.0 3d4p 3P     8.16 -6.59 -7.93NBS  0 0 45-0.380 45 0.000    0   30F3z-4 0       0 1484     0
  565.8363 -1.170 21.01   12074.100  0.0 3d2 3P       29742.160  1.0 3d4p 3P     8.16 -6.59 -7.93NBS  0 0 45-0.477 45 0.000    0   -9F3z-3 0       0 1484     0
  565.8373 -1.170 21.01   12074.100  0.0 3d2 3P       29742.160  1.0 3d4p 3P     8.16 -6.59 -7.93NBS  0 0 45-0.602 45 0.000    0  -38F3z-2 0       0 1484     0

  630.9906 -1.570 21.01   12074.100  0.0 3d2 3P       27917.780  1.0 3d4p 3D     8.36 -6.73 -7.90NBS  0 0 45-0.380 45 0.000    0   36F3z-4 0       0  506     0
  630.9924 -1.570 21.01   12074.100  0.0 3d2 3P       27917.780  1.0 3d4p 3D     8.36 -6.73 -7.90NBS  0 0 45-0.477 45 0.000    0  -10F3z-3 0       0  506     0
  630.9938 -1.570 21.01   12074.100  0.0 3d2 3P       27917.780  1.0 3d4p 3D     8.36 -6.73 -7.90NBS  0 0 45-0.602 45 0.000    0  -46F3z-2 0       0  506     0

